"","Plot","Herbivory","Coral_Id","Coral","percent_bleached","percent_dead","Date","Nutrients","catcat"
"269","A1","open","P8","Pver",0,0,"Mar19","Ambient","Mar19_P8"
"270","A2","1x1","A2","Acr",0,0,"Mar19","Nutrient","Mar19_A2"
"271","A2","1x1","P11","Pver",0,0,"Mar19","Nutrient","Mar19_P11"
"272","A2","1x1","P17","Pver",0,0,"Mar19","Nutrient","Mar19_P17"
"273","A2","1x1","P22","Pver",0,0,"Mar19","Nutrient","Mar19_P22"
"274","A2","2x2","A3","Acr",0,0,"Mar19","Nutrient","Mar19_A3"
"275","A2","2x2","P24","Pver",0,0,"Mar19","Nutrient","Mar19_P24"
"276","A2","2x2","P9","Pver",0,0,"Mar19","Nutrient","Mar19_P9"
"277","A2","3x3","A2","Acr",0,0,"Mar19","Nutrient","Mar19_A2"
"278","A2","3x3","P20","Pver",0,0,"Mar19","Nutrient","Mar19_P20"
"279","A2","3x3","P25","Pver",0,5,"Mar19","Nutrient","Mar19_P25"
"280","A2","3x3","P6","Pver",0,0,"Mar19","Nutrient","Mar19_P6"
"281","A2","open","A1","Acr",60,0,"Mar19","Nutrient","Mar19_A1"
"282","A2","open","A2","Acr",0,0,"Mar19","Nutrient","Mar19_A2"
"283","A2","open","P1","Pver",0,0,"Mar19","Nutrient","Mar19_P1"
"284","A2","open","P19","Pver",0,0,"Mar19","Nutrient","Mar19_P19"
"285","A2","open","P5","Pver",0,0,"Mar19","Nutrient","Mar19_P5"
"286","B3","1x1","A3","Acr",0,0,"Mar19","Nutrient","Mar19_A3"
"287","B3","1x1","P11","Pver",0,0,"Mar19","Nutrient","Mar19_P11"
"288","B3","1x1","P13","Pver",0,20,"Mar19","Nutrient","Mar19_P13"
"289","B3","1x1","P20","Pver",0,0,"Mar19","Nutrient","Mar19_P20"
"290","B3","1x1","P21","Pver",0,0,"Mar19","Nutrient","Mar19_P21"
"291","B3","1x1","P23","Pver",0,0,"Mar19","Nutrient","Mar19_P23"
"292","B3","2x2","A1","Acr",10,0,"Mar19","Nutrient","Mar19_A1"
"293","B3","2x2","P1","Pver",0,0,"Mar19","Nutrient","Mar19_P1"
"294","B3","3x3","A2","Acr",0,0,"Mar19","Nutrient","Mar19_A2"
"295","B3","3x3","A3","Acr",20,0,"Mar19","Nutrient","Mar19_A3"
"296","B3","3x3","P2","Pver",0,0,"Mar19","Nutrient","Mar19_P2"
"297","B3","3x3","P9","Pver",0,0,"Mar19","Nutrient","Mar19_P9"
"298","B3","open","A1","Acr",10,0,"Mar19","Nutrient","Mar19_A1"
"299","B3","open","P10","Pver",0,0,"Mar19","Nutrient","Mar19_P10"
"300","B3","open","P21","Pver",0,0,"Mar19","Nutrient","Mar19_P21"
"301","B3","open","P28","Pver",0,0,"Mar19","Nutrient","Mar19_P28"
"302","B3","open","P5","Pver",0,0,"Mar19","Nutrient","Mar19_P5"
"303","B4","1x1","A1","Acr",0,0,"Mar19","Ambient","Mar19_A1"
"304","B4","1x1","P11","Pver",0,0,"Mar19","Ambient","Mar19_P11"
"305","B4","1x1","P25","Pver",0,0,"Mar19","Ambient","Mar19_P25"
